"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"CONN-TH_S2B-PH-K-S-LF-SN";1;"Battery";;;
2;"C1, C2, C3, C4, C5, C6, C7, C8, C10, C11, C12";"C_0402_1005Metric";11;"0.1 uF";;;
3;"C9";"C_0402_1005Metric";1;"1 uF";;;
4;"C13, C14";"R_0402_1005Metric";2;"33pF";;;
5;"C15, C16";"C_0603_1608Metric";2;"10uF";;;
6;"D1";"SOD-123F_L2.8-W1.8-LS3.7-RD";1;"D_Schottky";;;
7;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
8;"R1, R2";"R_0402_1005Metric";2;"5.1K";;;
9;"R3";"R_0402_1005Metric";1;"10K";;;
10;"R4, R5";"R_0402_1005Metric";2;"1K";;;
11;"R6, R7";"R_0402_1005Metric";2;"27";;;
12;"SW1";"SW_PUSH_6mm";1;"USD";;;
13;"SW2";"SW_PUSH_6mm";1;"SW_Push";;;
14;"SW3";"SW_PUSH_6mm";1;"CNY";;;
15;"SW4";"SW_PUSH_6mm";1;"PST";;;
16;"SW5";"SW_PUSH_6mm";1;"Convert!";;;
17;"SW6";"SW_PUSH_6mm";1;"CST";;;
18;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
19;"U2";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q128JVS";;;
20;"U4";"LED-SEG-TH_HDSP-5621";1;"HDSP-521E";;;
21;"U5";"SOT-23";1;"MCP1700x-330xxTT";;;
22;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
